id	label	x	y	cluster	weight<Links>	weight<Total link strength>
364	"treating textile materials by liquids, gases or vapours"	0.3033	-0.7696	2	624	6480.1368
365	"finishing, dressing, tentering or stretching textile fabrics"	0.1705	-0.7786	2	601	5864.9688
366	"laundering, drying, ironing, pressing or folding textile articles"	0.3117	-0.2406	2	645	4580.803
367	"mechanical or pressure cleaning of carpets, rugs, sacks, hides or other skin"	0.3818	-0.6469	2	420	2428.9282
368	"marking, inspecting, seaming or severing textile materials"	-0.0122	-0.7874	2	569	4062.9204
369	"pleating, kilting, or goffering textile fabrics or wearing"	-0.0703	-0.7811	2	345	1211.748
370	"bleaching, e.g. optical bleaching, dry-cleaning or washing fibres, threads, y"	0.6481	-0.5099	2	578	5215.1902
371	"treatment, not provided for elsewhere in class d06, of fibres, threads, yarns"	0.5309	-0.657	2	638	13610.8794
372	"wall, floor or like covering materials, e.g. linoleum, oilcloth, artificial l"	0.2819	-0.6976	2	630	9296.2098
373	dyeing or printing textiles	0.2483	-0.9105	2	619	9524.2332
374	decorating textiles	0.1215	-0.9731	2	575	5954.5852
375	ropes or cables in general	-0.1373	-0.2839	2	601	3559.0238
376	"indexing scheme associated with sublasses of section d, relating to textiles"	-0.0292	-0.6979	2	633	12483.7866
377	fibrous raw materials or their mechanical treatment	0.7459	-0.3208	5	591	7728.2274
378	production of cellulose by removing non-cellulose substances from cellulose-c	0.9036	-0.3152	5	616	8803.513
379	treatment of the materials before passing to the paper-making machine	0.6993	-0.1979	5	580	2621.5628
380	paper-making machines	0.4369	-0.75	2	633	6561.1762
381	"calenders; accessories for paper-making machines"	0.3184	-0.4607	2	623	3170.6712
382	pulp compositions	0.565	-0.7558	2	640	11824.6592
383	fibreboard	0.5904	-0.541	5	550	3082.417
384	permanent way	-0.4199	0.3885	1	608	2280.0038
385	"construction of, or surfaces for, roads, sports grounds, or the like"	0.0733	0.0034	1	642	5366.3006
386	"construction of bridges,"	-0.1308	0.0792	1	596	2928.0276
387	"additional work, such as equipping roads or the construction of platforms, he"	-0.0215	-0.4441	1	628	7762.7194
388	street cleaning	-0.0797	0.1439	1	624	1986.2368
389	hydraulic engineering	-0.0059	0.2915	1	636	4832.7298
390	ship-lifting devices or mechanisms	-0.286	0.3821	1	243	588.9386
391	foundations	0.0751	0.1061	1	642	5813.5194
392	dredging	-0.152	0.2749	1	638	4535.8928
393	"installations or methods for obtaining, collecting, or"	0.097	0.4197	1	614	3827.7818
394	domestic plumbing installations for fresh water or waste	0.059	0.3274	1	627	4525.9786
395	water-closets or urinals with flushing devices	0.0548	0.2821	1	614	1983.7542
396	sewers	0.1638	0.2399	1	629	3301.5828
397	general building constructions	-0.0697	-0.4012	1	646	12902.1222
398	structural elements	0.0465	-0.3585	1	643	12331.8256
399	roof coverings	0.171	-0.3848	1	640	9342.359
400	"finishing work on buildings, e.g. stairs, floors"	-0.0304	-0.6244	1	644	11009.1456
401	scaffolding	-0.1465	-0.1226	1	639	5829.6374
402	buildings or like structures for particular purposes	-0.2245	-0.0024	1	647	6694.183
403	locks	-0.6357	-0.0316	1	638	5492.8466
404	"bolts or fastening devices for wings, specially for doors"	-0.5975	-0.0831	1	619	4612.0468
405	"hinges or other suspension devices for doors, windows or wings"	-0.2408	-0.4127	1	634	12216.128
406	devices for moving wings into open or closed position	-0.6622	-0.0649	1	632	7515.1026
407	safes or strong-rooms for valuables	-0.5367	-0.0919	1	583	2003.928
408	"indexing scheme relating to hinges or other suspension devices for doors, win"	-0.3696	-0.3095	1	643	12732.8958
409	"fixed or movable closures for openings in buildings, vehicles, fences or like"	-0.2309	-0.3049	1	641	6896.9384
410	ladders	-0.3429	-0.0788	1	585	1724.7808
411	"earth drilling, e.g. deep drilling"	0.4458	0.4648	6	648	15705.8436
412	mining or quarrying	0.2429	0.1342	6	610	3243.9476
413	shafts	0.1402	0.1808	6	612	2284.94
414	"safety devices, transport, filling-up, rescue, ventilation, or draining in or"	0.2339	0.3319	6	602	3099.5136
415	"machines or engines, in general or of positive-displacement"	-0.0673	1.0062	3	599	7688.6546
416	rotary-piston or oscillating-piston machines or engines	0.0769	0.8922	3	604	4821.964
417	"non-positive displacement machines or engines, e.g. steam"	0.2424	0.8565	3	646	9457.1346
418	steam engine plants	0.4492	0.9511	3	611	10390.7716
419	cyclically operating valves for machines or engines	-0.0259	0.9806	3	619	5335.0118
420	lubricating of machines or engines in general	0.111	0.7137	3	622	4819.3114
421	gas-flow silencers or exhaust apparatus for machines or engines in general	0.2168	0.939	3	635	8167.3042
422	cooling of machines or engines in general	-0.0109	0.8796	3	621	6174.9668
423	internal-combustion piston engines	0.0634	0.9958	3	643	15100.0404
424	gas-turbine plants	0.355	1.0233	3	638	13884.9734
425	controlling combustion engines	-0.0712	1.0737	3	632	10667.5824
426	"cylinders, pistons or casings, for combustion engines"	0.0494	0.9168	3	625	6703.1024
427	hot gas or combustion-product positive-displacement engine	0.2171	0.9963	3	612	10385.9746
428	jet-propulsion plants	0.1619	0.9131	3	629	5682.0476
429	"supplying combustion engines in general, with combustible"	0.135	0.9634	3	643	9936.1532
430	starting of combustion engines	-0.3578	0.9916	3	594	7224.5512
431	"ignition, other than compression ignition, for internal- combustion engines"	-0.0681	0.9479	3	605	5892.632
432	machines or engines for liquids	-0.1384	0.7812	1	607	5015.2316
433	positive-displacement engines driven by liquids	-0.1838	0.8063	3	500	2326.7874
434	wind motors	-0.2049	0.8865	1	628	7469.9238
435	"spring, weight, inertia or like motors"	-0.0563	0.7009	3	632	9900.6492
436	"producing a reactive propulsive thrust, not otherwise provided"	0.0182	0.6663	7	493	1384.014
437	positive displacement machines for liquids	0.0737	0.5881	3	646	15055.5606
438	"rotary-piston, or oscillating-piston, positive-displacement machines for liqu"	0.008	0.7703	3	633	6312.2586
439	non-positive displacement pumps	0.1777	0.6949	3	642	10431.6336
440	pumping of fluid by direct contact of another fluid or by using	0.2935	0.6505	3	620	3042.1846
441	indexing scheme relating to machines or engines other than non-positive-displ	-0.1526	0.8617	1	633	9358.0394
442	"indexing scheme relating to materials, material properties or material charac"	-0.0105	0.7209	3	629	9710.2774
443	indexing scheme for aspects relating to non-positive- displacement machines o	0.3041	0.9134	3	643	12398.149
444	systems acting by means of fluids in general	-0.0704	0.756	3	640	8348.5668
445	fluid-circuit elements predominantly used for computing or	0.2798	0.4022	3	591	8242.3906
446	"fluid dynamics, i.e. methods or means for influencing the flow of"	0.1635	0.5222	3	618	4736.1626
447	devices for fastening or securing constructional elements or machine parts to	-0.1732	-0.2712	1	644	12428.7018
448	shafts	-0.097	0.2089	1	646	9362.4722
449	couplings for transmitting rotation	-0.3325	0.3765	1	644	7226.3118
450	springs	-0.4264	0.1992	1	644	7038.4266
451	"belts, cables, or ropes, predominantly used for driving purposes"	-0.2049	-0.1946	2	629	3316.2764
452	gearing	-0.4457	0.694	1	647	8341.5232
453	pistons	0.0504	0.4655	3	644	5821.367
454	valves	0.194	0.4019	3	647	12774.0008
455	pipes	0.0561	0.183	1	649	8857.115
456	"frames, casings, or beds of engines or other machines or apparatus not specif"	-0.4902	-0.0567	1	636	7225.0966
457	lubricating	0.0327	0.3827	3	633	4050.488
458	safety devices in general	-0.4446	-0.8157	6	608	8869.5536
459	constructional elements in general	-0.2524	-0.0867	1	315	802.9874
460	steam traps or like apparatus for draining-off liquids from enclosures predom	0.249	0.6835	3	488	1007.1702
461	gas-holders of variable capacity	0.1688	0.3132	3	319	678.4982
462	"vessels for containing or storing compressed, liquefied or solidified gases"	0.2288	0.4353	3	644	6040.5296
463	pipe-line systems	0.3374	0.5641	3	627	9466.1374
464	mantles	0.2703	0.5821	3	239	418.185
465	light sources not otherwise provided for	-0.8942	0.5003	9	623	13067.2548
466	"lighting devices or systems thereof, being portable or specially adapted for"	-0.6546	0.2622	9	608	4846.02
467	non-portable lighting devices or systems thereof	-0.8497	0.4228	9	638	15835.6658
468	"details of lighting devices, of general application"	-0.8386	0.3654	9	642	15935.0692
469	"indexing scheme associated with subclasses f21k, f21l, f21s and f21v, relatin"	-0.7975	0.3667	9	632	13352.42
470	"indexing scheme associated with subclasses f21k, f21l, f21s and f21v, relatin"	-0.9369	0.4599	9	629	15041.8062
471	methods of steam generation	0.5662	0.7031	3	629	9728.6764
472	"preheating, or accumulating preheated, feed-water"	0.5124	0.8257	3	485	2549.434
473	superheating of steam	0.5854	0.8707	3	472	2766.2242
474	methods or apparatus for combustion using only solid fuel	0.803	0.7032	3	509	5989.6956
475	combustion apparatus using fluent fuel	0.7497	0.9507	3	618	13990.6434
476	burners	0.6903	0.8485	3	632	10002.9718
477	cremation furnaces	0.8426	0.7964	3	620	12183.8464
478	grates	0.8862	0.8231	3	390	2113.3136
479	removal or treatment of combustion products or combustion	0.8685	0.7555	3	612	8961.1018
480	feeding fuel to combustion apparatus	0.8102	0.857	3	600	11022.0606
481	air supply	0.8173	0.9343	3	597	12259.647
482	"casings, linings, walls or doors specially adapted for combustion chambers, e"	0.6888	0.966	3	605	9782.6832
483	regulating or controlling combustion	0.6032	0.9256	3	623	10001.007
484	ignition	0.5513	0.8134	3	596	3413.318
485	generating combustion products of high pressure or high	0.604	1.0801	3	613	7659.4606
486	domestic stoves or ranges for solid fuels	0.6824	0.7036	3	582	2695.4524
487	other domestic stoves or ranges	0.5316	0.4554	3	632	6311.2304
488	"domestic- or space-heating systems, e.g. central heating systems"	0.1989	0.7503	3	628	7479.7396
489	"air-conditioning, air-humidification, ventilation, use of air"	-0.0809	0.5959	3	650	11964.7518
490	"fluid heaters, e.g. water or air heaters, having heat generating"	0.4483	0.7914	3	632	8022.412
491	producing or use of heat not otherwise provided for	0.3092	0.5108	3	644	8931.4708
492	"refrigeration machines, plants or systems"	0.088	0.6512	3	641	10561.138
493	"production, working, storing or distribution of ice"	0.2878	0.2488	5	623	3266.8462
494	refrigerators	0.1052	0.2533	5	645	10336.1302
495	"liquefaction, solidification or separation of gases or gaseous"	0.7176	0.745	3	583	3489.8364
496	drying solid materials or objects by removing liquid therefrom	0.6613	-0.1082	2	645	11359.006
497	"furnaces, kilns, ovens, or retorts in general"	0.7787	0.5579	3	629	8540.6396
498	"details or accessories of furnaces, kilns, ovens, or retorts, in so far as th"	0.7088	0.608	3	637	9275.3982
499	"indexing scheme relating to aspects of the charges or furnaces, kilns, ovens"	0.7454	0.5685	3	474	3168.8334
500	steam or vapour condensers	0.4653	0.7351	3	532	3071.6644
501	"heat-exchange apparatus, not provided for in another subclass, in which the h"	0.632	0.5092	3	595	7429.2834
502	"heat-exchange apparatus, not provided for in another subclass, in which the h"	0.4444	0.6097	3	642	12848.5872
503	"details of heat-exchange and heat-transfer apparatus, of"	0.4352	0.5495	3	645	12517.786
504	cleaning of internal or external surfaces of heat-exchange or heat-transfer c	0.4992	0.5245	3	587	2621.474
505	"functional features or details common to both smallarms and ordnance, e.g. ca"	-0.2987	0.235	1	634	4050.8288
506	weapons for projecting missiles without use of explosive or combustible prope	-0.176	0.1513	1	626	2772.2526
507	"smallarms, e.g. pistols, rifles"	-0.3562	0.1525	1	605	3749.363
508	"apparatus for launching projectiles or missiles from barrels,"	-0.1878	0.4811	1	545	2138.0092
509	weapon sights	-0.3808	0.2632	1	608	3424.4064
510	armour	-0.1226	0.1658	1	642	8157.238
511	targets	-0.3384	0.2155	1	625	2022.555
512	"explosive charges, e.g. for blasting, fireworks, ammunition"	-0.0196	0.4984	1	641	5485.9188
513	ammunition fuzes	-0.0046	0.5908	1	596	3296.4666
514	blasting	0.0716	0.5049	1	618	3613.506
515	"measuring length, thickness or similar linear dimensions"	-0.435	-0.0387	4	643	9900.0568
516	"measuring distances, levels or bearings"	-0.9284	0.1591	4	643	17184.2078
517	measuring not specially adapted for a specific variable	-0.7499	0.2467	4	641	14242.5196
518	"measuring volume, volume flow, mass flow or liquid level"	-0.082	0.2669	4	646	9674.0402
519	weighing	-0.4368	-0.0764	1	637	7858.8014
520	"measurement of mechanical vibrations or ultrasonic, sonic"	-0.509	0.2605	4	611	5207.1028
521	"measurement of intensity, velocity, spectral content, polarisation, phase or"	-0.556	0.1737	4	637	12630.7552
522	measuring temperature	-0.3922	0.4244	4	641	10836.3742
523	"measuring force, stress, torque, work, mechanical power,"	-0.5579	0.1281	4	641	9552.0536
524	testing static or dynamic balance of machines or structures	-0.235	0.4181	4	643	10156.9838
525	investigating or analysing materials by determining their	0.3781	0.0646	5	652	23520.5492
526	"measuring linear or angular speed, acceleration, deceleration, or shock"	-0.7311	0.0392	4	635	9782.4648
527	scanning-probe techniques or apparatus	-0.0368	0.2123	4	589	2811.9114
528	measuring electric variables	-0.8004	0.1737	4	644	10787.6222
529	radio direction-finding	-0.8995	0.2126	4	640	17311.4034
530	measurement of nuclear or x-radiation	-0.079	0.3797	7	619	3977.8062
531	geophysics	-0.1103	0.4383	7	636	7774.6932
532	meteorology	-0.6068	0.4495	7	566	3179.5352
533	"optical elements, systems, or apparatus"	-0.6069	-0.1363	4	648	19225.783
534	spectacles	-0.361	-0.4483	2	622	3655.0116
535	"devices or arrangements, the optical operation of which is modified by changi"	-0.6908	-0.175	4	641	15148.697
536	apparatus or arrangements for taking photographs or for projecting or viewing	-0.6913	-0.3711	4	643	11024.1782
537	photosensitive materials for photographic purposes	0.2196	-0.6521	2	633	4103.839
538	apparatus for processing exposed photographic materials	-0.1829	-0.5115	2	618	2099.2398
539	"photomechanical production of textured or patterned surfaces, e.g. for printi"	0.0177	-0.2779	2	642	8503.257
540	"electrography; electrophotography; magnetography"	-0.0868	-0.7144	2	647	4794.8686
541	holographic processes or apparatus	-0.4443	-0.4056	4	611	5207.026
542	mechanically-driven clocks or watches	-0.7523	-0.309	4	606	5228.4132
543	electromechanical clocks or watches	-0.903	-0.1913	4	579	3720.787
544	apparatus or tools specially designed for making or maintaining clocks or wat	-0.7852	-0.2617	4	494	1291.8092
545	time-interval measuring	-0.8064	-0.1407	4	597	6462.2506
546	electronic time-pieces	-0.9759	-0.1613	4	607	8380.5768
547	radio-controlled time-pieces	-1.1027	-0.1299	4	455	3054.5782
548	control or regulating systems in general	-0.4752	0.196	4	647	18423.442
549	systems for controlling or regulating non-electric variables	-0.29	0.4462	1	650	17483.378
550	systems for regulating electric or magnetic variables	-0.2443	0.7167	6	610	10700.636
551	control devices or systems insofar as characterised by	-0.7657	0.0759	4	626	6463.1344
552	digital computers in which all the computation is effected	-0.6519	-0.4693	2	376	643.0818
553	digital fluid-pressure computing devices	-0.3373	0.4289	1	95	116.9196
554	optical computing devices	-0.5753	-0.2908	4	479	1898.212
555	electrical digital data processing	-0.9964	-0.0788	4	653	24484.7854
556	analogue computers	-1.0348	-0.0259	4	567	3288.0384
557	hybrid computing arrangements	-1.0909	-0.0248	4	445	2170.8106
558	recognition of data	-0.9027	-0.3619	4	649	22830.1788
559	counting mechanisms	-0.4552	-0.3232	2	589	2099.9274
560	computer systems based on specific computational models	-0.8671	0.1127	4	631	9719.352
561	"data processing systems or methods, specially adapted for administrative, com"	-1.0846	-0.2003	4	651	19642.1488
562	"image data processing or generation, in general"	-0.978	-0.2917	4	644	17025.0382
563	ticket-issuing apparatus	-0.8879	-0.2539	4	610	6637.835
564	time or attendance registers	-1.0186	0.0064	4	644	17680.3454
565	"handling of coins or of paper currency or similar valuable papers, e.g. testi"	-1.0169	-0.5418	4	631	9039.2308
566	coin-freed or like apparatus	-1.0502	-0.2968	4	646	10150.3294
567	"registering the receipt of cash, valuables, or tokens"	-1.0384	-0.1779	4	613	9216.133
568	signalling or calling systems	-0.827	0.115	4	646	16302.237
569	"transmission systems for measured values, control or similar"	-0.9653	0.1307	4	621	13379.6036
570	traffic control systems	-0.9671	0.3444	4	630	13264.352
571	educational or demonstration appliances	-0.8225	-0.2374	4	644	13295.9062
572	coding or ciphering apparatus for cryptographic or other	-1.2522	-0.3639	4	499	5799.7414
573	railway or like time or fare tables	-0.69	-0.4839	2	347	568.0362
574	displaying	-0.4611	-0.7054	8	648	21666.6496
575	arrangements or circuits for control of indicating devices using static means	-0.8642	-0.1548	4	637	13081.8134
576	organs	-1.0664	-0.4031	4	166	194.6972
577	"pianos, harpsichords, spinets or similar stringed musical"	-1.0201	-0.4372	4	501	1523.252
578	"stringed musical instruments; wind musical instruments; accordions or ..."	-0.8119	-0.4173	4	621	1519.5254
579	automatic musical instruments	-1.0437	-0.444	4	382	1293.9682
580	aids for music	-0.9419	-0.4081	4	546	2471.0162
581	electrophonic musical instruments	-1.0957	-0.3428	4	617	5804.9538
582	sound-producing devices	-0.6236	0.1277	4	639	8655.3974
583	speech analysis or synthesis	-1.2666	-0.1865	4	616	10061.9704
584	information storage based on relative movement between	-0.9981	-0.212	4	648	9915.0238
585	static stores	-0.8352	-0.0975	4	635	9009.5364
586	"constructional details of instruments, or comparable details of other apparat"	-0.3593	0.0582	4	581	2477.2196
587	fusion reactors	0.0533	0.7874	7	557	2780.2914
588	nuclear reactors	0.2089	0.6414	7	633	4594.5004
589	nuclear power plant	0.0983	0.7951	7	574	3862.113
590	"protection against x-radiation, gamma radiation, corpuscular radiation or par"	0.3922	0.4443	7	630	5362.908
591	conversion of chemical elements	0.2538	0.5038	7	539	2212.6282
592	obtaining energy from radioactive sources	0.2128	0.5082	7	483	1227.4812
593	nuclear explosives	-0.2887	0.6437	7	225	347.9112
594	techniques for handling particles or ionising radiation not otherwise provide	0.0033	0.3919	7	625	5996.0096
595	"indexing scheme relating to nuclear reactors, power plants and explosives, to"	0.2391	0.6236	7	624	4441.1766
596	cables	0.2588	-0.0066	2	643	9678.6518
597	resistors	0.3169	0.4527	6	625	9646.928
598	magnets	-0.3961	0.3215	4	646	13003.822
599	"capacitors; capacitors, rectifiers, detectors, switching devices or ..."	-0.1828	0.3043	4	637	7144.1896
600	electric switches	-0.7189	0.1544	4	643	10208.1636
601	electric discharge tubes or discharge lamps	0.144	0.3578	7	646	9985.743
602	electric incandescent lamps	-0.5324	0.3306	9	588	3124.2798
603	semiconductor devices	-0.2355	0.0768	4	653	17785.394
604	"processes or means, e.g. batteries, for the direct conversion of"	0.3577	0.4738	3	649	12523.1712
605	waveguides	-0.9828	0.2665	4	619	5063.498
606	aerials	-0.926	0.2416	4	641	9016.886
607	line connectors	-0.5554	0.2559	4	647	6547.5782
608	devices using stimulated emission	-0.308	0.1491	4	636	5290.229
609	spark gaps	0.1409	0.4738	3	614	4223.9916
610	"boards, substations, or switching arrangements for the supply"	-0.5187	0.1493	4	607	2415.3518
611	"installation of electric cables or lines, or of combined optical"	-0.3816	0.1083	4	645	5819.5492
612	emergency protective circuit arrangements	-0.6558	0.5077	4	615	5650.1214
613	circuit arrangements or systems for supplying or distributing electric power	-0.5723	0.6584	4	641	15009.0414
614	dynamo-electric machines	-0.3354	0.5178	1	645	8574.4306
615	"apparatus for conversion between ac and ac, between ac and dc, or between dc"	-0.7634	0.637	4	631	6573.447
616	electric machines not otherwise provided for	-0.3103	0.3135	4	625	5986.3082
617	"control or regulation of electric motors, electric generators or dynamo-elect"	-0.4093	0.6723	1	630	7472.6874
618	"generation of electric power by conversion of infra-red radiation, visible li"	0.0331	0.535	3	627	5786.9724
619	"generation of oscillations, directly or by frequency-changing, by circuits em"	-1.2436	0.2718	4	583	6570.8494
620	modulation	-1.5395	0.2692	4	542	6109.4886
621	demodulation or transference of modulation from one carrier	-1.5508	0.2967	4	571	4961.0376
622	amplifiers	-1.3799	0.3168	4	607	5926.9776
623	control of amplification	-1.4143	0.2185	4	592	6998.3684
624	"impedance networks, e.g. resonant circuits"	-1.1277	0.3305	4	619	8585.0192
625	tuning resonant circuits	-1.3289	0.2479	4	566	7214.2846
626	pulse technique	-1.0062	0.1807	4	627	6552.7182
627	"automatic control, starting, synchronisation, or stabilisation of generators"	-1.275	0.2629	4	593	5420.9158
628	coding	-1.335	0.0461	4	624	5887.421
629	transmission	-1.2601	0.1925	4	643	17810.8416
630	broadcast communication	-1.3727	-0.0986	4	613	12629.859
631	multiplex communication	-1.3661	0.1198	4	616	8578.2458
632	secret communication	-1.422	-0.0686	4	580	8134.2362
633	"transmission of digital information, e.g. telegraphic"	-1.2576	0.0372	4	647	19329.4862
634	telephonic communication	-1.2202	-0.0011	4	643	14863.6928
635	"pictorial communication, e.g. television"	-1.1738	-0.2333	4	650	21857.2274
636	selecting	-1.1764	0.1472	4	629	9300.3378
637	"loudspeakers, microphones, gramophone pick-ups or like acoustic electromechan"	-0.958	0.0285	4	641	7397.1946
638	stereophonic systems	-1.2316	-0.0611	4	539	2766.332
639	wireless communications networks	-1.2422	0.1071	4	639	16484.769
640	electric heating	-0.3048	0.5681	9	646	19793.0092
641	electric circuits or apparatus specially designed for use in equipment for ki	-0.1946	0.2132	1	432	1682.3108
642	static electricity	-0.0441	-0.0197	2	604	2669.5206
643	x-ray technique	-0.0653	0.4862	7	586	3491.0832
644	plasma technique	0.1381	0.5668	7	626	6365.8336
645	printed circuits	-0.3907	0.0137	4	650	17098.4758
646	indexing scheme relating to climate change mitigation technologies related to	-0.7713	0.4482	4	650	24120.2964
647	"capture, storage, sequestration or disposal of greenhouse gases [ghg]"	0.6584	0.6402	6	622	14156.4784
648	"reduction of greenhouse gases [ghg] emission, related to energy generation, t"	0.3895	0.5821	3	652	26848.671
649	climate change mitigation technologies in the production or processing of goo	0.6473	0.3077	3	651	33293.6022
650	climate change mitigation technologies related to transportation	-0.1118	0.8755	3	650	26837.7604
651	climate change mitigation technologies related to wastewater treatment or was	0.6895	-0.0273	5	649	17566.7692
652	"systems integrating technologies related to power network operation, communic"	-0.8635	0.5615	4	615	12350.2036
653	technical subjects covered by former uspc cross-reference art collections [xr	-0.0318	-0.1144	6	653	54881.7382
654	technical subjects covered by former us classification	0.0165	-0.144	6	653	67010.0676
